RAW_DATA,DATE,LINE,RESULT,FULL_DATE,FREE_CELL,TOTAL_ZEROS,TOTAL_ONES,RATIO,
,,,,,24230,"20,755.00",3475,20755:3475,
22:05:27.527865|0.13|0.0|2019-04-11 02:05:27.527924,22:05:28,0.13,0,2019-04-11 2:05:28,,,,,
22:05:28.719156|0.14|0.0|2019-04-11 02:05:28.719209,22:05:29,0.14,0,2019-04-11 2:05:29,,,,,
22:05:30.184157|0.15|0.0|2019-04-11 02:05:30.184211,22:05:30,0.15,0,2019-04-11 2:05:30,,,,,
22:05:31.588910|0.16|0.0|2019-04-11 02:05:31.588967,22:05:32,0.16,0,2019-04-11 2:05:32,,,,,
22:05:33.312753|0.18|0.0|2019-04-11 02:05:33.312813,22:05:33,0.18,0,2019-04-11 2:05:33,,,,,
22:05:34.685949|0.19|0.0|2019-04-11 02:05:34.686010,22:05:35,0.19,0,2019-04-11 2:05:35,,,,,
22:05:36.001236|0.21|0.0|2019-04-11 02:05:36.001300,22:05:36,0.21,0,2019-04-11 2:05:36,,,,,
22:05:37.393193|0.22|0.0|2019-04-11 02:05:37.393241,22:05:37,0.22,0,2019-04-11 2:05:37,,,,,
22:05:38.660519|0.23|0.0|2019-04-11 02:05:38.660567,22:05:39,0.23,0,2019-04-11 2:05:39,,,,,
22:05:40.035027|0.24|0.0|2019-04-11 02:05:40.035083,22:05:40,0.24,0,2019-04-11 2:05:40,,,,,
22:10:35.013124|0.0|0.0|2019-04-11 02:10:35.013185,22:10:35,0,0,2019-04-11 2:10:35,,,,,
22:10:36.924700|0.1|0.0|2019-04-11 02:10:36.924761,22:10:37,0.1,0,2019-04-11 2:10:37,,,,,
22:10:38.488334|0.2|0.0|2019-04-11 02:10:38.488389,22:10:38,0.2,0,2019-04-11 2:10:38,,,,,
22:10:39.970816|0.17|0.0|2019-04-11 02:10:39.970868,22:10:40,0.17,0,2019-04-11 2:10:40,,,,,
22:10:41.695776|0.4|0.0|2019-04-11 02:10:41.695818,22:10:42,0.4,0,2019-04-11 2:10:42,,,,,
22:10:43.130760|0.5|0.0|2019-04-11 02:10:43.130824,22:10:43,0.5,0,2019-04-11 2:10:43,,,,,
22:10:44.729758|0.6|0.0|2019-04-11 02:10:44.729820,22:10:45,0.6,0,2019-04-11 2:10:45,,,,,
22:10:46.133256|0.7|0.0|2019-04-11 02:10:46.133305,22:10:46,0.7,0,2019-04-11 2:10:46,,,,,
22:10:47.985879|0.8|0.0|2019-04-11 02:10:47.985920,22:10:48,0.8,0,2019-04-11 2:10:48,,,,,
22:10:49.467148|0.9|0.0|2019-04-11 02:10:49.467237,22:10:49,0.9,0,2019-04-11 2:10:49,,,,,
22:10:51.614815|0.11|0.0|2019-04-11 02:10:51.614877,22:10:52,0.11,0,2019-04-11 2:10:52,,,,,
22:10:53.257182|0.12|0.0|2019-04-11 02:10:53.257236,22:10:53,0.12,0,2019-04-11 2:10:53,,,,,
22:10:54.704219|0.13|0.0|2019-04-11 02:10:54.704267,22:10:55,0.13,0,2019-04-11 2:10:55,,,,,
22:10:56.224777|0.14|0.0|2019-04-11 02:10:56.224829,22:10:56,0.14,0,2019-04-11 2:10:56,,,,,
22:10:57.701269|0.15|0.0|2019-04-11 02:10:57.701419,22:10:58,0.15,0,2019-04-11 2:10:58,,,,,
22:10:59.456120|0.16|0.0|2019-04-11 02:10:59.456163,22:10:59,0.16,0,2019-04-11 2:10:59,,,,,
22:11:01.271936|0.18|0.0|2019-04-11 02:11:01.271983,22:11:01,0.18,0,2019-04-11 2:11:01,,,,,
22:11:02.743060|0.19|0.0|2019-04-11 02:11:02.743179,22:11:03,0.19,0,2019-04-11 2:11:03,,,,,
22:11:05.837519|0.21|0.0|2019-04-11 02:11:05.837573,22:11:06,0.21,0,2019-04-11 2:11:06,,,,,
22:11:07.311454|0.22|0.0|2019-04-11 02:11:07.311511,22:11:07,0.22,0,2019-04-11 2:11:07,,,,,
22:11:08.647339|0.23|0.0|2019-04-11 02:11:08.647383,22:11:09,0.23,0,2019-04-11 2:11:09,,,,,
