DATE,LINE,RESULT,,,,TOTAL_ONES,,
,,,,,,1381,,
0.0235,0.4,0,,,,,,
0.0235,0.5,0,,,,,,
0.0235,0.6,0,,,,,,
0.0235,0.7,1,,,,,,
0.0235,0.8,0,,,,,,
0.0235,0.9,0,,,,,,
0.0235,0.11,1,,,,,,
0.0235,0.12,1,,,,,,
0.0235,0.13,0,,,,,,
0.0235,0.14,1,,,,,,
0.0235,0.15,0,,,,,,
0.0235,0.16,0,,,,,,
0.0235,0.18,0,,,,,,
0.0235,0.19,0,,,,,,
0.0235,0.21,0,,,,,,
0.0235,0.22,0,,,,,,
0.0235,0.23,0,,,,,,
0.0235,0.24,0,,,,,,
0.2310,0,0,,,,,,
0.2310,0.1,0,,,,,,
0.2310,0.2,0,,,,,,
0.2310,0.17,0,,,,,,
0.2310,0.4,0,,,,,,
0.2310,0.5,0,,,,,,
0.2310,0.6,0,,,,,,
0.2310,0.7,1,,,,,,
0.2310,0.8,0,,,,,,
0.2310,0.9,0,,,,,,
0.2310,0.11,1,,,,,,
0.2310,0.12,1,,,,,,
0.2310,0.13,1,,,,,,
0.2310,0.14,1,,,,,,
0.2310,0.15,0,,,,,,
0.2310,0.16,0,,,,,,
0.2310,0.18,0,,,,,,
0.2310,0.19,0,,,,,,
0.2310,0.21,1,,,,,,
0.2311,0.22,0,,,,,,
0.2311,0.23,1,,,,,,
0.2311,0.24,1,,,,,,
0.2315,0,0,,,,,,
0.2315,0.1,0,,,,,,
0.2315,0.2,0,,,,,,
0.2315,0.17,0,,,,,,
0.2315,0.4,0,,,,,,
0.2315,0.5,0,,,,,,
0.2315,0.6,0,,,,,,
0.2315,0.7,1,,,,,,
0.2315,0.8,0,,,,,,
0.2315,0.9,0,,,,,,
0.2315,0.11,1,,,,,,
0.2315,0.12,1,,,,,,
0.2315,0.13,1,,,,,,
0.2315,0.14,1,,,,,,
0.2315,0.15,0,,,,,,
0.2315,0.16,0,,,,,,
0.2315,0.18,0,,,,,,
0.2315,0.19,0,,,,,,
0.2315,0.21,1,,,,,,
0.2315,0.22,0,,,,,,
0.2315,0.23,1,,,,,,
0.2315,0.24,1,,,,,,
0.2320,0,0,,,,,,
0.2320,0.1,0,,,,,,
0.2320,0.2,0,,,,,,
0.2320,0.17,0,,,,,,
0.2320,0.4,0,,,,,,
0.2320,0.5,0,,,,,,
0.2320,0.6,0,,,,,,
0.2320,0.7,1,,,,,,
0.2320,0.8,0,,,,,,
0.2320,0.9,0,,,,,,
0.2320,0.11,1,,,,,,
0.2320,0.12,1,,,,,,
0.2320,0.13,1,,,,,,
0.2320,0.14,1,,,,,,
0.2320,0.15,0,,,,,,
0.2320,0.16,0,,,,,,
0.2320,0.18,0,,,,,,
0.2320,0.19,0,,,,,,
0.2320,0.21,1,,,,,,
0.2320,0.22,0,,,,,,
0.2320,0.23,1,,,,,,
0.2320,0.24,1,,,,,,
0.2325,0,0,,,,,,
0.2325,0.1,0,,,,,,
0.2325,0.2,0,,,,,,
0.2325,0.17,0,,,,,,
0.2325,0.4,0,,,,,,
0.2325,0.5,0,,,,,,
0.2325,0.6,0,,,,,,
0.2325,0.7,1,,,,,,
0.2325,0.8,0,,,,,,
0.2325,0.9,0,,,,,,
0.2325,0.11,1,,,,,,
0.2325,0.12,1,,,,,,
0.2325,0.13,0,,,,,,
0.2325,0.14,0,,,,,,
0.2325,0.15,0,,,,,,
0.2325,0.16,0,,,,,,
